species,year,variable,units,magnitude,source,data_value,value_above
Hoki,2009,TACC,Tonnes,Actual,Environmental_Accounts,90010,537924.494
Hoki,2010,TACC,Tonnes,Actual,Environmental_Accounts,110010,569418.38
Hoki,2011,TACC,Tonnes,Actual,Environmental_Accounts,120010,582795.149
Hoki,2012,TACC,Tonnes,Actual,Environmental_Accounts,130010,597339.721
Hoki,2013,TACC,Tonnes,Actual,Environmental_Accounts,130010,594250.303
Hoki,2014,TACC,Tonnes,Actual,Environmental_Accounts,150010,620038.245
Hoki,2015,TACC,Tonnes,Actual,Environmental_Accounts,160010,642491.124
Ling,2009,TACC,Tonnes,Actual,Environmental_Accounts,21977.1,537924.494
Ling,2010,TACC,Tonnes,Actual,Environmental_Accounts,22226,569418.38
Ling,2011,TACC,Tonnes,Actual,Environmental_Accounts,22226,582795.149
Ling,2012,TACC,Tonnes,Actual,Environmental_Accounts,22226,597339.721
Ling,2013,TACC,Tonnes,Actual,Environmental_Accounts,22226,594250.303
Ling,2014,TACC,Tonnes,Actual,Environmental_Accounts,23192,620038.245
Ling,2015,TACC,Tonnes,Actual,Environmental_Accounts,23192,642491.124
Orange_Roughy,2009,TACC,Tonnes,Actual,Environmental_Accounts,12532,537924.494
Orange_Roughy,2010,TACC,Tonnes,Actual,Environmental_Accounts,11062,569418.38
Orange_Roughy,2011,TACC,Tonnes,Actual,Environmental_Accounts,8221,582795.149
Orange_Roughy,2012,TACC,Tonnes,Actual,Environmental_Accounts,6941,597339.721
Orange_Roughy,2013,TACC,Tonnes,Actual,Environmental_Accounts,6941,594250.303
Orange_Roughy,2014,TACC,Tonnes,Actual,Environmental_Accounts,7841,620038.245
Orange_Roughy,2015,TACC,Tonnes,Actual,Environmental_Accounts,8736,642491.124
Paua,2009,TACC,Tonnes,Actual,Environmental_Accounts,1058.5,537924.494
Paua,2010,TACC,Tonnes,Actual,Environmental_Accounts,1058.5,569418.38
Paua,2011,TACC,Tonnes,Actual,Environmental_Accounts,1058.5,582795.149
Paua,2012,TACC,Tonnes,Actual,Environmental_Accounts,1058.5,597339.721
Paua,2013,TACC,Tonnes,Actual,Environmental_Accounts,1058.5,594250.303
Paua,2014,TACC,Tonnes,Actual,Environmental_Accounts,1058.5,620038.245
Paua,2015,TACC,Tonnes,Actual,Environmental_Accounts,1058.5,642491.124
Rock_Lobster,2009,TACC,Tonnes,Actual,Environmental_Accounts,3021.4,537924.494
Rock_Lobster,2010,TACC,Tonnes,Actual,Environmental_Accounts,2802.5,569418.38
Rock_Lobster,2011,TACC,Tonnes,Actual,Environmental_Accounts,2847.7,582795.149
Rock_Lobster,2012,TACC,Tonnes,Actual,Environmental_Accounts,2833.1,597339.721
Rock_Lobster,2013,TACC,Tonnes,Actual,Environmental_Accounts,2850.6,594250.303
Rock_Lobster,2014,TACC,Tonnes,Actual,Environmental_Accounts,2895.7,620038.245
Rock_Lobster,2015,TACC,Tonnes,Actual,Environmental_Accounts,2898.2,642491.124
Scampi,2009,TACC,Tonnes,Actual,Environmental_Accounts,1291,537924.494
Scampi,2010,TACC,Tonnes,Actual,Environmental_Accounts,1291,569418.38
Scampi,2011,TACC,Tonnes,Actual,Environmental_Accounts,1291,582795.149
Scampi,2012,TACC,Tonnes,Actual,Environmental_Accounts,1191,597339.721
Scampi,2013,TACC,Tonnes,Actual,Environmental_Accounts,1191,594250.303
Scampi,2014,TACC,Tonnes,Actual,Environmental_Accounts,1224,620038.245
Scampi,2015,TACC,Tonnes,Actual,Environmental_Accounts,1224,642491.124
Snapper,2009,TACC,Tonnes,Actual,Environmental_Accounts,6357.3,537924.494
Snapper,2010,TACC,Tonnes,Actual,Environmental_Accounts,6357.3,569418.38
Snapper,2011,TACC,Tonnes,Actual,Environmental_Accounts,6357.3,582795.149
Snapper,2012,TACC,Tonnes,Actual,Environmental_Accounts,6357.3,597339.721
Snapper,2013,TACC,Tonnes,Actual,Environmental_Accounts,6357.3,594250.303
Snapper,2014,TACC,Tonnes,Actual,Environmental_Accounts,6357.3,620038.245
Snapper,2015,TACC,Tonnes,Actual,Environmental_Accounts,6357.3,642491.124
Blue_Cod,2009,TACC,Tonnes,Actual,Environmental_Accounts,2681.5,537924.494
Blue_Cod,2010,TACC,Tonnes,Actual,Environmental_Accounts,2681.5,569418.38
Blue_Cod,2011,TACC,Tonnes,Actual,Environmental_Accounts,2681.5,582795.149
Blue_Cod,2012,TACC,Tonnes,Actual,Environmental_Accounts,2331.6,597339.721
Blue_Cod,2013,TACC,Tonnes,Actual,Environmental_Accounts,2331.6,594250.303
Blue_Cod,2014,TACC,Tonnes,Actual,Environmental_Accounts,2331.6,620038.245
Blue_Cod,2015,TACC,Tonnes,Actual,Environmental_Accounts,2331.6,642491.124
Silver_Warehou,2009,TACC,Tonnes,Actual,Environmental_Accounts,10380.2,537924.494
Silver_Warehou,2010,TACC,Tonnes,Actual,Environmental_Accounts,10380.2,569418.38
Silver_Warehou,2011,TACC,Tonnes,Actual,Environmental_Accounts,10380.2,582795.149
Silver_Warehou,2012,TACC,Tonnes,Actual,Environmental_Accounts,10380.2,597339.721
Silver_Warehou,2013,TACC,Tonnes,Actual,Environmental_Accounts,10380.2,594250.303
Silver_Warehou,2014,TACC,Tonnes,Actual,Environmental_Accounts,10380.2,620038.245
Silver_Warehou,2015,TACC,Tonnes,Actual,Environmental_Accounts,10380.2,642491.124
Southern_Blue_Whiting,2009,TACC,Tonnes,Actual,Environmental_Accounts,36948,537924.494
Southern_Blue_Whiting,2010,TACC,Tonnes,Actual,Environmental_Accounts,41848,569418.38
Southern_Blue_Whiting,2011,TACC,Tonnes,Actual,Environmental_Accounts,44848,582795.149
Southern_Blue_Whiting,2012,TACC,Tonnes,Actual,Environmental_Accounts,43408,597339.721
Southern_Blue_Whiting,2013,TACC,Tonnes,Actual,Environmental_Accounts,43408,594250.303
Southern_Blue_Whiting,2014,TACC,Tonnes,Actual,Environmental_Accounts,43408,620038.245
Southern_Blue_Whiting,2015,TACC,Tonnes,Actual,Environmental_Accounts,53208,642491.124
